year,AGING ($ mil.),AGRICULTURE ($ mil.),CENTRAL MANAGEMENT ($ mil.),CHILDREN AND FAMILY SERVICES ($ mil.),COMMERCE AND ECONOMIC OPPORTUNITY ($ mil.),NATURAL RESOURCES ($ mil.),CORRECTION ($ mil.)S,EMPLOYMENT SECURITY ($ mil.),HUMAN SERVICES ($ mil.),HEALTHCARE & FAM SER NET OF MEDICAID ($ mil.),PUBLIC HEALTH ($ mil.),REVENUE ($ mil.),TRANSPORTATION ($ mil.),ENVIRONMENTAL PROTECT AGENCY ($ mil.),IL STATE TOLL HIGHWAY AUTH ($ mil.),IL COMMUNITY COLLEGE BOARD ($ mil.),IL STUDENT ASSISTANCE COMM ($ mil.),LEGISLATIVE ($ mil.),JUDICIAL ($ mil.),ELECTED OFFICERS ($ mil.),PUBLIC SAFETY ($ mil.),BUS & PROFESSION REGULATION ($ mil.),MEDICAID ($ mil.),CAPITAL IMPROVEMENT ($ mil.),OTHER DEPARTMENTS ($ mil.),OTHER BOARDS & COMMISSIONS ($ mil.),K-12 EDUCATION ($ mil.),UNIVERSITY EDUCATION ($ mil.),DEBT SERVICE ($ mil.),STATE EMPLOYEE HEALTHCARE ($ mil.),STATE PENSION CONTRIBUTION ($ mil.),LOCAL GOVT REVENUE SHARE ($ mil.),Total
2009,605.8792386499999,76.79424644,698.24796487,1245.2930475599999,517.89638111,218.61726002,1219.63546087,217.64145230000003,5278.75901159,691.0586495,350.11362122,846.11397437,2991.99931869,411.11934623,1599.27061967,393.86681231,692.0558503200001,82.96979596999999,386.94904313,641.9490160299999,756.4113963200001,211.02284738,13826.58674312,165.01668231,108.8598915,177.50172112,9373.42888669,1425.0946672100001,1421.07800529,1533.99450411,2564.5411844799996,5520.558796109999,56250.32543649
2010,727.76948072,80.74965711,784.3394492699999,1231.19779724,1176.48284956,215.93285683000002,1225.29855175,250.38671764000003,5391.83264831,456.82789949,365.38124025,703.7345782799999,3703.43911386,523.29791133,1292.2441540799998,415.92025329,701.6640166,84.19877295,387.78624246,630.4168879800001,775.6503651700001,231.05772787,14155.9385009,213.24860784999998,112.66413984,349.07299386,9847.05714594,1489.18017777,1387.92024044,1522.93480609,3112.7947922000003,5194.19321064,58740.61378757
2011,715.1087197200001,71.97837896000001,768.21648391,1212.50991499,1157.73521944,223.80794,1268.25513525,286.70133017,5688.81017247,490.51363605,312.49000277,731.74445651,4358.79869487,760.30463019,739.80110963,404.9719743,718.3488390399999,83.75182303,365.12459701999995,644.53893368,797.75816749,215.74221406,14161.02022563,364.70846998,122.87327737000001,374.89043461,9561.133293719999,1367.8433583800002,1640.8520024000002,1608.95914215,3134.4549934399997,5529.052197790001,59882.79976902
2012,795.4911003499999,69.76364573000001,739.46873061,1190.79955408,1026.1218293099998,215.01717597,1278.17042926,230.44583538999998,5246.26421915,515.50080011,403.59836050999996,489.8636138,4317.35928662,640.0139991799999,698.72918798,404.30361282,685.55934675,100.08490721,386.59251265,667.08096628,783.54213474,226.73297278,12228.48252349,616.3252273400001,728.63252171,326.11312167,8951.51668604,1400.8513203900002,1784.8645659000001,2080.34469463,4513.4283313099995,5568.990849299999,59310.05406306
2013,1121.0722073,69.55234591,890.67455036,1136.6463996500001,979.62269692,231.35040547999998,1248.96883953,227.25283747,5584.3246481099995,359.48150925,357.7134801,388.82994394,4132.94676734,523.42118719,950.24235075,382.75647757,623.08673376,120.57795939,352.50807242,679.40114512,828.8544314400001,242.20922363999998,14776.36709009,528.8773000799999,732.06452278,276.63878429000005,8722.2484437,1300.71752107,1802.85670795,1898.0216219499998,5446.80709418,5828.579201660001,62744.67250039
2014,993.6345765599999,72.47230148999999,903.15645861,1129.14244855,1051.76127151,263.23042145,1351.49152346,251.08554735,5600.14806947,452.28582456,460.39329391,458.75599245999996,4285.67548851,467.53463295,1423.40512143,382.60846041,615.1804817999999,96.26091303,373.07615517,744.93095787,827.336456,270.25109714999996,15189.78782041,737.03866399,724.7829230499999,262.99310400999997,8981.82443794,1378.5524008599998,1920.01656271,2213.94467919,6360.6268779,6030.58129638,66273.96626014
2015,1031.9755591800001,70.00167173,860.49748529,1117.86477881,993.7598186399999,298.10899019,1382.1140050899999,218.49438684,5872.34861588,394.8776347,399.09104701999996,425.83528907,4344.79361597,626.3781617100001,1894.3990662200001,381.32174560000004,562.00875151,90.72505298,396.58512546,801.69079568,773.16553128,273.88938727,16913.59457004,749.41715153,1088.18518914,242.33232605,8906.215777149999,1341.8813581900001,2014.55568518,2070.4028809700003,6458.7184915299995,6283.47793569,69278.70788159
2016,710.4086324,55.451731159999994,718.94904093,1086.91477397,512.51323402,162.70346392,951.33824847,205.40274234,5035.80047107,322.37879783,341.00264357,398.69819598000004,4143.81243145,802.5414628,2245.99601849,115.63172222,365.55080634,88.46375525,387.46478177,690.2163320599999,726.33873068,194.25992423,17034.82557192,90.96402408,672.16611062,206.17036713,9334.06926366,386.3674423,1906.0034094300001,118.23179549000002,7059.84350568,6231.73605521,63302.21548647
2017,1256.19765898,69.34993168999999,1140.0056983,1076.27115386,649.2998035700001,219.72807243,1274.50315513,193.98612000999998,5382.6269387,355.12242894999997,366.77336163,475.62125550999997,3999.06785252,911.1420130800001,1763.57585644,430.7858068,695.38896721,88.74767435,421.1659758,729.86369084,816.8848743200001,163.59396272,17852.95398318,253.79314911,734.4173807100001,211.69194276000002,9758.33682932,1264.99038221,1851.63592052,2974.100596,7276.453889379999,6459.7416522799995,71117.81797831
2018,953.84799884,84.16378461,998.29086796,1084.8222748399999,498.38432916,241.39979723,1945.24027946,236.51142621,5405.121710859999,380.88491195999995,372.7731038,507.39491336000003,3389.16385154,892.8032080099999,1467.50758754,341.58686437,564.088911,89.44913764,429.78640634,833.92872308,889.37394453,153.62153342,18587.36222093,222.21376053,932.08728375,211.52727471,10458.747310370001,1127.05319697,1970.69456089,5513.87783673,7401.75644983,6180.91691266,74366.38237313
2019,987.61025364,75.06594466,936.26239795,1153.12736403,576.2422491899999,268.04656143,1578.8738285,221.36637786000003,5593.04678799,462.76304456,429.457377,582.81683659,3232.44735203,827.29743897,1751.0649049600001,352.63823427999995,558.80062116,93.31638165999999,415.32178691,914.97561717,1001.65090523,157.31619704,19025.87600858,254.8699971,808.0529258199999,221.65179170000002,10637.694804069999,1145.98460585,2052.34078095,2806.44761449,8117.07729477,6520.18424595,73759.68853209
2020,1064.84687413,71.28949677,1190.46651677,1238.5849721700001,620.21825366,262.65736596,1534.12504123,236.52931031,5963.63419623,315.07045367,551.3317704299999,1108.21171055,3850.54609513,703.8987806800001,1917.63322051,393.14263856,604.9385891000001,101.24143529,476.93785978,878.53076751,1475.7376508,153.7742,22289.405404959998,305.93522986,632.99439366,202.64005538,11303.71132139,1201.37022423,1947.22765114,2632.56558168,8915.7383828,6455.3859012,80600.32134554
2021,1143.37217704,66.06448521,1362.854337,1303.11845608,1897.14146819,273.35346255,1610.55407717,327.40724113,6516.02097841,356.06108125,934.59427914,1659.52471309,5098.22163704,658.92265417,1963.23937193,407.23638405,575.04671701,105.96270129999999,517.7267073,924.96559192,1994.9761647,157.88885675,26277.16957997,451.71068356,873.24015017,238.93826964,12177.217104219999,1222.56138171,2026.26050134,2467.24384785,9497.11710811,7178.371065359999,92264.08323435999
